date,product_name,quantity_sold,sales_idr
2020-01-01,Air Freshener,104,4576000.0
2020-01-01,Apple,130,9490000.0
2020-01-01,BBQ Sauce,137,6165000.0
2020-01-01,Baby Wipes,123,5289000.0
2020-01-01,Banana,114,8436000.0
2020-01-01,Bath Towels,112,2016000.0
2020-01-01,Beef,90,3420000.0
2020-01-01,Bread,84,6048000.0
2020-01-01,Broom,90,2880000.0
2020-01-01,Butter,93,2604000.0
2020-01-01,Canned Soup,92,2852000.0
2020-01-01,Carrots,100,6900000.0
2020-01-01,Cereal,139,2641000.0
2020-01-01,Cereal Bars,159,1272000.0
2020-01-01,Cheese,121,6534000.0
2020-01-01,Chicken,130,4940000.0
2020-01-01,Chips,124,620000.0
2020-01-01,Cleaning Rags,62,2976000.0
2020-01-01,Cleaning Spray,112,7392000.0
2020-01-01,Coffee,79,2212000.0
2020-01-01,Deodorant,80,4880000.0
2020-01-01,Diapers,170,4590000.0
2020-01-01,Dish Soap,165,11715000.0
2020-01-01,Dishware,127,2032000.0
2020-01-01,Dustpan,122,6954000.0
2020-01-01,Eggs,132,5148000.0
2020-01-01,Extension Cords,123,6888000.0
2020-01-01,Feminine Hygiene Products,102,918000.0
2020-01-01,Garden Hose,155,9455000.0
2020-01-01,Hair Gel,141,7473000.0
2020-01-01,Hand Sanitizer,120,5880000.0
2020-01-01,Honey,131,2227000.0
2020-01-01,Ice Cream,118,8496000.0
2020-01-01,Insect Repellent,115,5060000.0
2020-01-01,Iron,101,5757000.0
2020-01-01,Ironing Board,132,8976000.0
2020-01-01,Jam,111,5328000.0
2020-01-01,Ketchup,91,4914000.0
2020-01-01,Laundry Detergent,122,5490000.0
2020-01-01,Lawn Mower,98,7056000.0
2020-01-01,Light Bulbs,118,4838000.0
2020-01-01,Mayonnaise,107,7383000.0
2020-01-01,Milk,142,10508000.0
2020-01-01,Mop,148,1184000.0
2020-01-01,Mustard,114,5814000.0
2020-01-01,Olive Oil,137,3288000.0
2020-01-01,Onions,76,4180000.0
2020-01-01,Orange,108,5832000.0
2020-01-01,Pancake Mix,115,1610000.0
2020-01-01,Paper Towels,146,6716000.0
2020-01-01,Pasta,134,3618000.0
2020-01-01,Peanut Butter,48,3264000.0
2020-01-01,Pickles,101,3030000.0
2020-01-01,Plant Fertilizer,58,1334000.0
2020-01-01,Potatoes,79,4582000.0
2020-01-01,Power Strips,64,2048000.0
2020-01-01,Razors,86,860000.0
2020-01-01,Rice,110,2530000.0
2020-01-01,Salmon,151,1208000.0
2020-01-01,Shampoo,133,9310000.0
2020-01-01,Shaving Cream,126,2772000.0
2020-01-01,Shower Gel,120,7080000.0
2020-01-01,Shrimp,134,4824000.0
2020-01-01,Soap,150,2100000.0
2020-01-01,Soda,161,966000.0
2020-01-01,Spinach,99,4554000.0
2020-01-01,Sponges,74,962000.0
2020-01-01,Syrup,98,2744000.0
2020-01-01,Tea,94,5076000.0
2020-01-01,Tissues,154,2310000.0
2020-01-01,Toilet Paper,135,5400000.0
2020-01-01,Tomatoes,143,1716000.0
2020-01-01,Toothbrush,65,3770000.0
2020-01-01,Toothpaste,273,11466000.0
2020-01-01,Trash Bags,84,5712000.0
2020-01-01,Trash Cans,127,3683000.0
2020-01-01,Tuna,102,6222000.0
2020-01-01,Vacuum Cleaner,108,1404000.0
2020-01-01,Vinegar,84,5628000.0
2020-01-01,Water,77,1309000.0
2020-01-01,Yogurt,121,6776000.0
2020-01-02,Air Freshener,118,5192000.0
2020-01-02,Apple,129,9417000.0
2020-01-02,BBQ Sauce,117,5265000.0
2020-01-02,Baby Wipes,96,4128000.0
2020-01-02,Banana,116,8584000.0
2020-01-02,Bath Towels,101,1818000.0
2020-01-02,Beef,102,3876000.0
2020-01-02,Bread,127,9144000.0
2020-01-02,Broom,131,4192000.0
2020-01-02,Butter,106,2968000.0
2020-01-02,Canned Soup,164,5084000.0
2020-01-02,Carrots,101,6969000.0
2020-01-02,Cereal,126,2394000.0
2020-01-02,Cereal Bars,119,952000.0
2020-01-02,Cheese,119,6426000.0
2020-01-02,Chicken,128,4864000.0
2020-01-02,Chips,120,600000.0
2020-01-02,Cleaning Rags,73,3504000.0
2020-01-02,Cleaning Spray,105,6930000.0
2020-01-02,Coffee,71,1988000.0
2020-01-02,Deodorant,129,7869000.0
2020-01-02,Diapers,185,4995000.0
2020-01-02,Dish Soap,135,9585000.0
2020-01-02,Dishware,75,1200000.0
2020-01-02,Dustpan,129,7353000.0
2020-01-02,Eggs,163,6357000.0
2020-01-02,Extension Cords,91,5096000.0
2020-01-02,Feminine Hygiene Products,141,1269000.0
2020-01-02,Garden Hose,93,5673000.0
2020-01-02,Hair Gel,118,6254000.0
2020-01-02,Hand Sanitizer,128,6272000.0
2020-01-02,Honey,143,2431000.0
2020-01-02,Ice Cream,119,8568000.0
2020-01-02,Insect Repellent,145,6380000.0
2020-01-02,Iron,51,2907000.0
2020-01-02,Ironing Board,164,11152000.0
2020-01-02,Jam,81,3888000.0
2020-01-02,Ketchup,119,6426000.0
2020-01-02,Laundry Detergent,105,4725000.0
2020-01-02,Lawn Mower,149,10728000.0
2020-01-02,Light Bulbs,136,5576000.0
